Deployment.Location.ID,Species,Species_Label,Week_Label,Week_Start,Bear_Detections,Effort,log_effort,mean_ndvi,mean_ndvi_scaled,elevation,elevation_scaled,canopy,canopy_scaled,dist_trail,prox_trail,prox_trail_scaled,rec_week,rec_week_scaled,season,trail_status
BLT14,Ursus americanus,Black bear,2023-W28,2023-07-12,0,4,1.386294361,0.3029,-0.201362613,1115,-1.011073928,38.37,0.195575529,26.7583801,0.947890054,0.456080986,125,0.985005349,after,NA
BLT27,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.945910149,0.364,0.00831343,1648,0.157348804,0,-0.809920389,104.358897,0.811624249,-0.163280317,57.14285714,0.721920167,after,NA
BLT42,Ursus americanus,Black bear,2023-W28,2023-07-12,0,6,1.791759469,0.0688,-1.004720417,2208,1.38495993,0,-0.809920389,0,1,0.692933393,133.3333333,1.006791046,after,closed
BLT18,Ursus americanus,Black bear,2023-W28,2023-07-12,0,5,1.609437912,0.0638,-1.021878849,1828,0.551938095,0,-0.809920389,284.8342121,0.565712984,-1.281006956,80,0.834704307,after,NA
BLT05,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.945910149,0.9273,1.941382421,1072,-1.105336925,90.05,1.54986349,216.3632622,0.648737882,-0.90363856,0,-0.66018326,after,NA
BLT22,Ursus americanus,Black bear,2023-W28,2023-07-12,0,5,1.609437912,0.1678,-0.664983456,1661,0.18584692,0,-0.809920389,0,1,0.692933393,120,0.971231147,after,closed
BLT09,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.945910149,0.3718,0.035080585,1082,-1.083415298,89.18,1.527064912,168.2628298,0.714247556,-0.605881121,0,-0.66018326,after,NA
BLT17,Ursus americanus,Black bear,2023-W28,2023-07-12,0,4,1.386294361,0.2104,-0.518793612,1286,-0.636214102,23.83,-0.185448986,0,1,0.692933393,125,0.985005349,after,closed
BLT29,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.945910149,0.5114,0.514144017,2098,1.14382203,0,-0.809920389,0,1,0.692933393,57.14285714,0.721920167,after,closed
BLT10,Ursus americanus,Black bear,2023-W28,2023-07-12,0,3,1.098612289,0.2561,-0.36196554,994,-1.276325618,12.56,-0.480782293,0,1,0.692933393,233.3333333,1.19607207,after,open
BLT03,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.945910149,0.3935,0.109548181,916,-1.44731431,97.74,1.751381958,0,1,0.692933393,6857.142857,2.344659527,after,open
BLT07,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.945910149,0.1311,-0.79092635,987,-1.291670757,88.64,1.51291407,0,1,0.692933393,6485.714286,2.32571832,after,open
BLT06,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.945910149,0.3164,-0.155034846,990,-1.285094269,23.83,-0.185448986,223.5797458,0.639441915,-0.945890996,0,-0.66018326,after,NA
BLT12,Ursus americanus,Black bear,2023-W28,2023-07-12,0,3,1.098612289,0.2648,-0.332109868,1070,-1.109721251,26.12,-0.125438935,68.86518512,0.871333598,0.10811323,133.3333333,1.006791046,after,NA
BLT19,Ursus americanus,Black bear,2023-W28,2023-07-12,0,5,1.609437912,0.4019,0.138374348,1579,0.006089576,87.46,1.48199186,0,1,0.692933393,140,1.023267696,after,closed
BLT32,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.945910149,0.4082,0.159993973,2195,1.356461814,0,-0.809920389,418.0561481,0.433392153,-1.882437391,28.57142857,0.491928861,after,NA
BLT35,Ursus americanus,Black bear,2023-W28,2023-07-12,0,6,1.791759469,0.1591,-0.694839128,1683,0.234074499,0,-0.809920389,118.039547,0.78971821,-0.262848604,100,0.90977148,after,NA
BLT37,Ursus americanus,Black bear,2023-W28,2023-07-12,0,6,1.791759469,0.1306,-0.792642193,1900,0.709773811,0,-0.809920389,55.2384562,0.895407003,0.217532725,83.33333333,0.848422953,after,NA
BLT08,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.945910149,0.4145,0.181613597,1073,-1.103144763,77.53,1.221773605,259.0303361,0.595674637,-1.144823942,0,-0.66018326,after,NA
BLT24,Ursus americanus,Black bear,2023-W28,2023-07-12,0,5,1.609437912,0.2746,-0.29847934,2063,1.067096335,0,-0.809920389,566.6766482,0.321951844,-2.388960758,40,0.603086041,after,NA
BLT28,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.945910149,0.6831,1.103364584,1960,0.841303574,78.52,1.247716814,0,1,0.692933393,71.42857143,0.796656163,after,closed
BLT38,Ursus americanus,Black bear,2023-W28,2023-07-12,0,6,1.791759469,0.0528,-1.059627401,2083,1.110939589,0,-0.809920389,147.6060204,0.744373733,-0.468950303,16.66666667,0.316694164,after,NA
BLT40,Ursus americanus,Black bear,2023-W28,2023-07-12,0,6,1.791759469,0.4208,0.203233222,2090,1.126284728,0,-0.809920389,0,1,0.692933393,116.6666667,0.961728397,after,closed
BLT02,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.945910149,0.6432,0.966440294,974,-1.320168872,90.05,1.54986349,337.1061606,0.50955763,-1.536246729,0,-0.66018326,after,NA
BLT44,Ursus americanus,Black bear,2023-W28,2023-07-12,0,6,1.791759469,0.033,-1.127574793,2431,1.873812217,0,-0.809920389,0,1,0.692933393,100,0.90977148,after,closed
BLT20,Ursus americanus,Black bear,2023-W28,2023-07-12,0,5,1.609437912,0.0527,-1.059970569,1651,0.163925292,0,-0.809920389,0,1,0.692933393,120,0.971231147,after,closed
BLT01,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.945910149,0.7717,1.407412006,842,-1.609534352,90.97,1.573972331,0,1,0.692933393,12600,2.551602219,after,open
BLT16,Ursus americanus,Black bear,2023-W28,2023-07-12,0,4,1.386294361,0.5027,0.484288344,1138,-0.960654185,23.78,-0.186759249,176.4664684,0.702624312,-0.658711598,50,0.677330737,after,closed
BLT21,Ursus americanus,Black bear,2023-W28,2023-07-12,0,5,1.609437912,0.0555,-1.050361847,1647,0.155156641,0,-0.809920389,0,1,0.692933393,100,0.90977148,after,closed
BLT23,Ursus americanus,Black bear,2023-W28,2023-07-12,0,5,1.609437912,0.0405,-1.101837144,1875,0.654969743,0,-0.809920389,0,1,0.692933393,80,0.834704307,after,closed
BLT25,Ursus americanus,Black bear,2023-W28,2023-07-12,0,5,1.609437912,0.3996,0.130481469,1663,0.190231245,49.92,0.49824631,0,1,0.692933393,120,0.971231147,after,closed
BLT26,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.945910149,0.5213,0.548117713,1762,0.407255355,0,-0.809920389,0,1,0.692933393,71.42857143,0.796656163,after,closed
