Deployment.Location.ID,Species,Species_Label,Week_Label,Week_Start,Bear_Detections,Effort,log_effort,mean_ndvi,mean_ndvi_scaled,elevation,elevation_scaled,canopy,canopy_scaled,dist_trail,prox_trail,decay_trail01,human_100,rec_week_scaled,season,trail_status
BLT14,Ursus americanus,Black bear,2023-W28,2023-07-12,0,4,1.38629436111989,0.3029,-0.201362613261875,1115,-1.01107392807677,38.37,0.195575529338996,26.7583800954993,0.947890054052318,0.0521099459476823,125,0.985005349366598,after,NA
BLT27,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.94591014905531,0.364,0.00831343032888734,1648,0.157348804120295,0,-0.809920388757122,104.358897028707,0.811624248513573,0.188375751486427,57.1428571428571,0.72192016681671,after,NA
BLT42,Ursus americanus,Black bear,2023-W28,2023-07-12,0,6,1.79175946922805,0.0688,-1.00472041693777,2208,1.38495992988081,0,-0.809920388757122,0,1,0,133.333333333333,1.00679104623183,after,closed
BLT18,Ursus americanus,Black bear,2023-W28,2023-07-12,0,5,1.6094379124341,0.0638,-1.02187884931018,1828,0.551938094543319,0,-0.809920388757122,284.83421209219,0.56571298434921,0.43428701565079,80,0.834704307129627,after,NA
BLT05,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.94591014905531,0.9273,1.94138242140378,1072,-1.10533692523338,90.05,1.54986348991255,216.363262220637,0.648737881502607,0.35126211849739303,0,-0.6601832597104,after,NA
BLT22,Ursus americanus,Black bear,2023-W28,2023-07-12,0,5,1.6094379124341,0.1678,-0.664983455964198,1661,0.185846919539735,0,-0.809920388757122,0,1,0,120,0.971231146839015,after,closed
BLT09,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.94591014905531,0.3718,0.0350805848298358,1082,-1.08341529798766,89.18,1.5270649116289,168.262829838247,0.71424755597979,0.28575244402021,0,-0.6601832597104,after,NA
BLT17,Ursus americanus,Black bear,2023-W28,2023-07-12,0,4,1.38629436111989,0.2104,-0.518793612151326,1286,-0.636214102174898,23.83,-0.185448985884292,0,1,0,125,0.985005349366598,after,closed
BLT29,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.94591014905531,0.5114,0.514144016667321,2098,1.14382203017785,0,-0.809920388757122,0,1,0,57.1428571428571,0.72192016681671,after,closed
BLT10,Ursus americanus,Black bear,2023-W28,2023-07-12,0,3,1.09861228866811,0.2561,-0.361965540267565,994,-1.27632561775003,12.56,-0.480782293075933,0,1,0,233.333333333333,1.19607206958064,after,open
BLT03,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.94591014905531,0.3935,0.109548181326064,916,-1.44731431026667,97.74,1.7513819577301,0,1,0,6857.14285714286,2.34465952650329,after,open
BLT07,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.94591014905531,0.1311,-0.790926349577634,987,-1.29167075682203,88.64,1.5129140699356,0,1,0,6485.71428571429,2.32571831974694,after,open
BLT06,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.94591014905531,0.3164,-0.155034845856387,990,-1.28509426864832,23.83,-0.185448985884292,223.579745804558,0.63944191452156,0.36055808547844,0,-0.6601832597104,after,NA
BLT12,Ursus americanus,Black bear,2023-W28,2023-07-12,0,3,1.09861228866811,0.2648,-0.332109867939584,1070,-1.10972125068253,26.12,-0.125438934999744,68.8651851214765,0.871333597541791,0.128666402458209,133.333333333333,1.00679104623183,after,NA
BLT19,Ursus americanus,Black bear,2023-W28,2023-07-12,0,5,1.6094379124341,0.4019,0.1383743477117,1579,0.00608957612480202,87.46,1.48199186030951,0,1,0,140,1.02326769648899,after,closed
BLT32,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.94591014905531,0.4082,0.159993972500928,2195,1.35646181446137,0,-0.809920388757122,418.056148083219,0.433392152806447,0.566607847193553,28.5714285714286,0.49192886067055003,after,NA
BLT35,Ursus americanus,Black bear,2023-W28,2023-07-12,0,6,1.79175946922805,0.1591,-0.694839128292179,1683,0.234074499480327,0,-0.809920388757122,118.039546984955,0.789718209514256,0.210281790485744,100,0.909771480295819,after,NA
BLT37,Ursus americanus,Black bear,2023-W28,2023-07-12,0,6,1.79175946922805,0.1306,-0.792642192814874,1900,0.709773810712528,0,-0.809920388757122,55.2384562018202,0.895407002746302,0.104592997253698,83.3333333333333,0.848422953431369,after,NA
BLT08,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.94591014905531,0.4145,0.181613597290155,1073,-1.10314476250881,77.53,1.22177360472716,259.03033606739,0.59567463695207,0.40432536304793,0,-0.6601832597104,after,NA
BLT24,Ursus americanus,Black bear,2023-W28,2023-07-12,0,5,1.6094379124341,0.2746,-0.298479340489674,2063,1.06709633481782,0,-0.809920388757122,566.676648193073,0.321951844331851,0.678048155668149,40,0.603086041102454,after,NA
BLT28,Ursus americanus,Black bear,2023-W28,2023-07-12,0,7,1.94591014905531,0.6831,1.10336458433563,1960,0.84130357418687,78.52,1.24771681449821,0,1,0,71.4285714285714,0.796656163355208,after,closed
